ip,Rpc,Spc,Tss,Tsr,Smin,Smax,Savg,Ravg,Svar,Rvar,SITmin,SITmax,SITavg,SITvar,RITmin,RITmax,RITavg,RITvar,isBot
172.16.0.5,152.0,156.0,21792.0,34686.0,60.0,714.0,139.69230769230768,228.19736842105263,160.37595408952077,352.82354067430947,4.76837158203125e-07,9.128166913986206,0.32928865032811316,1.039755183056057,9.5367431640625e-07,9.22926926612854,0.3380114290098481,1.0645809437671576,1
172.217.10.38,8.0,4.0,240.0,610.0,60.0,60.0,60.0,76.25,0.0,18.273712579237188,9.5367431640625e-07,3.337860107421875e-06,1.8278757731119792e-06,1.0721474936192864e-06,9.5367431640625e-07,0.03259873390197754,0.0046967438289097375,0.011391115357491922,0
172.217.10.42,4.0,2.0,200.0,320.0,100.0,100.0,100.0,80.0,0.0,23.094010767585033,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.0,2.86102294921875e-06,0.04654216766357422,0.015516042709350586,0.02193878334928861,0
172.217.10.66,8.0,4.0,240.0,610.0,60.0,60.0,60.0,76.25,0.0,18.273712579237188,9.5367431640625e-07,2.1457672119140625e-06,1.3510386149088542e-06,5.619579801452537e-07,4.76837158203125e-07,0.0402369499206543,0.00585106440952846,0.01404011065129583,0
172.217.10.74,8.0,4.0,240.0,610.0,60.0,60.0,60.0,76.25,0.0,18.273712579237188,9.5367431640625e-07,2.86102294921875e-06,1.8278757731119792e-06,7.867411722033553e-07,0.0,0.041931867599487305,0.006144285202026367,0.014614901561819165,0
172.217.10.98,8.0,4.0,240.0,610.0,60.0,60.0,60.0,76.25,0.0,18.273712579237188,9.5367431640625e-07,2.86102294921875e-06,1.5894571940104167e-06,8.99132768232406e-07,7.152557373046875e-07,0.041818857192993164,0.0061451707567487445,0.014569509946446794,0
172.217.11.34,10.0,12.0,1248.0,1100.0,60.0,138.0,104.0,110.0,34.97531597102058,65.99663291074444,9.5367431640625e-07,58.016566038131714,5.281557386571711,16.676289805156266,1.9073486328125e-06,58.0556857585907,6.4652294582790795,18.24000037982148,0
172.217.6.194,8.0,4.0,240.0,610.0,60.0,60.0,60.0,76.25,0.0,18.273712579237188,4.76837158203125e-07,3.337860107421875e-06,1.6689300537109375e-06,1.215700987241932e-06,9.5367431640625e-07,0.04117012023925781,0.006012610026768276,0.014356398180675894,0
172.217.7.10,8.0,4.0,240.0,610.0,60.0,60.0,60.0,76.25,0.0,18.273712579237188,9.5367431640625e-07,3.337860107421875e-06,1.7484029134114583e-06,1.1239159602905076e-06,9.5367431640625e-07,0.03270602226257324,0.004807983125959124,0.011393911457773152,0
172.217.7.3,8.0,4.0,240.0,610.0,60.0,60.0,60.0,76.25,0.0,18.273712579237188,7.152557373046875e-07,2.86102294921875e-06,1.6689300537109375e-06,8.920806376395086e-07,9.5367431640625e-07,0.04085898399353027,0.005912303924560547,0.014268023342209581,0
172.217.9.226,8.0,2.0,120.0,610.0,60.0,60.0,60.0,76.25,0.0,18.273712579237188,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.0,9.5367431640625e-07,0.040991783142089844,0.006038257053920201,0.014276404407701039,0
192.168.10.50,6.0,0.0,0.0,396.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9073486328125e-06,6.015519142150879,1.8055123805999755,2.4066346975172563,0
192.168.50.1,156.0,152.0,34686.0,21792.0,60.0,1139.0,228.19736842105263,139.69230769230768,352.82354067430947,160.37595408952077,9.5367431640625e-07,9.22926926612854,0.3380114290098481,1.0645809437671576,4.76837158203125e-07,9.128166913986206,0.32928865032811316,1.039755183056057,0
192.168.50.253,0.0,24.0,2256.0,0.0,94.0,94.0,94.0,0.0,0.0,0.0,7.152557373046875e-07,9.980786800384521,2.0620996433755625,3.915626610585689,0.0,0.0,0.0,0.0,0
192.168.50.254,0.0,18.0,1692.0,0.0,94.0,94.0,94.0,0.0,0.0,0.0,9.5367431640625e-07,9.720967292785645,2.7593479436986588,4.276047963898403,0.0,0.0,0.0,0.0,0
192.168.50.6,52.0,94.0,7520.0,3728.0,60.0,230.0,80.0,71.6923076923077,28.265256609180035,25.35206103045085,0.0,25.455023050308228,0.6256673669302335,3.5948328766292614,0.0,25.502296924591064,1.1391594363193887,4.7958996094980515,0
192.168.50.7,6.0,10.0,726.0,474.0,66.0,89.0,72.6,79.0,9.559172442098633,15.046594299043223,1.9073486328125e-06,20.376811981201172,3.704336086908976,6.257935227659854,1.9073486328125e-06,33.268709897994995,6.672040605545044,13.298381847385802,0
192.168.50.8,4.0,2.0,178.0,290.0,89.0,89.0,89.0,72.5,0.0,14.433756729740644,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.0,2.1457672119140625e-06,0.09315109252929688,0.031052033106486004,0.04391066602414683,0
216.58.219.193,8.0,4.0,240.0,610.0,60.0,60.0,60.0,76.25,0.0,18.273712579237188,9.5367431640625e-07,1.9073486328125e-06,1.3510386149088542e-06,4.052336624139774e-07,9.5367431640625e-07,0.04102730751037598,0.005973849977765765,0.014313040245619397,0
216.58.219.196,8.0,4.0,240.0,610.0,60.0,60.0,60.0,76.25,0.0,18.273712579237188,0.0,3.337860107421875e-06,1.430511474609375e-06,1.4037705844764465e-06,1.1920928955078125e-06,0.04088115692138672,0.005910566874912807,0.014277653112430604,0
224.0.0.5,42.0,0.0,0.0,3948.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,7.152557373046875e-07,6.601182699203491,1.2363338528609857,2.2119954979331093,0
34.210.248.212,2.0,4.0,290.0,178.0,60.0,85.0,72.5,89.0,14.433756729740644,0.0,1.9073486328125e-06,0.09148621559143066,0.030496676762898762,0.04312611648709515,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.0,0
4.2.2.4,2.0,2.0,184.0,152.0,92.0,92.0,92.0,76.0,0.0,0.0,3.0994415283203125e-06,3.0994415283203125e-06,3.0994415283203125e-06,0.0,3.0994415283203125e-06,3.0994415283203125e-06,3.0994415283203125e-06,0.0,0
52.25.165.23,2.0,4.0,290.0,178.0,60.0,85.0,72.5,89.0,14.433756729740644,0.0,2.1457672119140625e-06,0.09315109252929688,0.031052033106486004,0.04391066602414683,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.0,0
Broadcast,4.0,0.0,0.0,240.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1920928955078125e-06,5.9604644775390625e-06,3.337860107421875e-06,1.9756639631042564e-06,0
CDP/VTP/DTP/PAgP/UDLD,6.0,0.0,0.0,1164.0,0.0,0.0,0.0,194.0,0.0,207.59190735671754,0.0,0.0,0.0,0.0,0.00023889541625976562,27.809701204299927,8.387381839752198,10.666904558800843,0
Cisco_42:73:e8,4.0,6.0,360.0,240.0,60.0,60.0,60.0,60.0,0.0,0.0,1.9073486328125e-06,6.903062105178833,2.494837188720703,3.0844301652304598,2.384185791015625e-06,5.571186780929565,1.8570640087127686,2.6262813983938833,0
Cisco_66:a1:0d,0.0,3.0,582.0,0.0,60.0,462.0,194.0,0.0,232.09480821422954,0.0,11.93667483329773,30.000234365463257,20.968454599380493,9.031779766082764,0.0,0.0,0.0,0.0,0
Cisco_66:a1:18,0.0,3.0,582.0,0.0,60.0,462.0,194.0,0.0,232.09480821422954,0.0,2.190239906311035,27.809940099716187,15.00009000301361,12.809850096702576,0.0,0.0,0.0,0.0,0
Cisco_66:a1:19,0.0,30.0,1920.0,0.0,64.0,64.0,64.0,0.0,0.0,0.0,1.9970486164093018,2.002722978591919,1.99983994714145,0.0012517202780893738,0.0,0.0,0.0,0.0,0
Dell_7b:97:d6,2.0,2.0,120.0,120.0,60.0,60.0,60.0,60.0,0.0,0.0,2.86102294921875e-06,2.86102294921875e-06,2.86102294921875e-06,0.0,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.0,0
Dell_7b:98:18,2.0,2.0,120.0,120.0,60.0,60.0,60.0,60.0,0.0,0.0,2.384185791015625e-06,2.384185791015625e-06,2.384185791015625e-06,0.0,2.1457672119140625e-06,2.1457672119140625e-06,2.1457672119140625e-06,0.0,0
Dell_a4:8b:f5,2.0,4.0,240.0,120.0,60.0,60.0,60.0,60.0,0.0,0.0,1.1920928955078125e-06,5.9604644775390625e-06,3.337860107421875e-06,1.9756639631042564e-06,2.86102294921875e-06,2.86102294921875e-06,2.86102294921875e-06,0.0,0
