ip,Rpc,Spc,Tss,Tsr,Smin,Smax,Savg,Ravg,Svar,Rvar,SITmin,SITmax,SITavg,SITvar,RITmin,RITmax,RITavg,RITvar,isBot
00000000.00031f007f18,0.0,2.0,964.0,0.0,482.0,482.0,482.0,0.0,0.0,0.0,1.1920928955078125e-06,1.1920928955078125e-06,1.1920928955078125e-06,0.0,0.0,0.0,0.0,0.0,0
00000000.00034d6ff4e4,0.0,2.0,964.0,0.0,482.0,482.0,482.0,0.0,0.0,0.0,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0.0,0.0,0.0,0.0,0.0,0
00000000.0050cdaea548,0.0,2.0,964.0,0.0,482.0,482.0,482.0,0.0,0.0,0.0,4.792213439941406e-05,4.792213439941406e-05,4.792213439941406e-05,0.0,0.0,0.0,0.0,0.0,0
00000000.00b336268569,0.0,2.0,964.0,0.0,482.0,482.0,482.0,0.0,0.0,0.0,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0.0,0.0,0.0,0.0,0.0,0
00480000.000000000495,2.0,0.0,0.0,964.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0.0,0
00480000.00000000051a,2.0,0.0,0.0,964.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1920928955078125e-06,1.1920928955078125e-06,1.1920928955078125e-06,0.0,0
00480000.000100000000,2.0,0.0,0.0,964.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,4.792213439941406e-05,4.792213439941406e-05,4.792213439941406e-05,0.0,0
00480000.000100000233,2.0,0.0,0.0,964.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0.0,0
00:00:00_00:00:00,40.0,0.0,0.0,19280.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002510547637939453,1.540550818810096e-05,4.21286411297896e-05,0
00:2f:3b:d3:00:2b,2.0,0.0,0.0,964.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00:31:ff:11:00:31,2.0,0.0,0.0,964.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0.0,0
00:34:00:00:00:00,0.0,2.0,964.0,0.0,482.0,482.0,482.0,0.0,0.0,0.0,1.1920928955078125e-06,1.1920928955078125e-06,1.1920928955078125e-06,0.0,0.0,0.0,0.0,0.0,0
00:38:b0:3e:00:38,2.0,0.0,0.0,964.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0.0,0
00:3d:25:d9:00:3d,2.0,0.0,0.0,964.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0.0,0
00:42:57:81:00:42,2.0,0.0,0.0,964.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.0,0
00:4b:75:09:00:4b,2.0,0.0,0.0,964.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0.0,0
00:4f:23:be:00:4f,2.0,0.0,0.0,964.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00:56:7f:f1:00:56,2.0,0.0,0.0,964.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5299530029296875e-05,4.5299530029296875e-05,4.5299530029296875e-05,0.0,0
00:5a:b1:52:00:5a,2.0,0.0,0.0,964.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5299530029296875e-05,4.5299530029296875e-05,4.5299530029296875e-05,0.0,0
00:67:bc:00:00:67,2.0,0.0,0.0,964.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0.0,0
00:6c:c4:12:00:6c,2.0,0.0,0.0,964.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0.0,0
00:c3:5f:ad:ad:78,0.0,2.0,964.0,0.0,482.0,482.0,482.0,0.0,0.0,0.0,4.482269287109375e-05,4.482269287109375e-05,4.482269287109375e-05,0.0,0.0,0.0,0.0,0.0,0
00:f4:2d:3f:4e:ee,0.0,2.0,964.0,0.0,482.0,482.0,482.0,0.0,0.0,0.0,1.6689300537109375e-06,1.6689300537109375e-06,1.6689300537109375e-06,0.0,0.0,0.0,0.0,0.0,0
03:44:4e:82:a7:e6,0.0,2.0,964.0,0.0,482.0,482.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
03:70:6d:c0:c1:13,0.0,2.0,964.0,0.0,482.0,482.0,482.0,0.0,0.0,0.0,1.1920928955078125e-06,1.1920928955078125e-06,1.1920928955078125e-06,0.0,0.0,0.0,0.0,0.0,0
06:aa:b2:80:5a:aa,0.0,2.0,964.0,0.0,482.0,482.0,482.0,0.0,0.0,0.0,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0.0,0.0,0.0,0.0,0.0,0
