ip,Rpc,Spc,Tss,Tsr,Smin,Smax,Savg,Ravg,Svar,Rvar,SITmin,SITmax,SITavg,SITvar,RITmin,RITmax,RITavg,RITvar,isBot
192.168.50.14,1.0,1.0,78.0,162.0,78.0,78.0,78.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.50.15,1.0,1.0,76.0,160.0,76.0,76.0,76.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.50.16,1.0,1.0,79.0,163.0,79.0,79.0,79.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.50.17,13.0,24.0,2035.0,3175.0,72.0,92.0,84.79166666666667,244.23076923076923,5.897524658825065,97.327757128644,0.0015459060668945312,12.04652214050293,2.3560001850128174,3.31691502271778,0.001615285873413086,12.034541368484497,4.515576402346293,5.160289454772628,1
192.168.50.18,1.0,1.0,80.0,164.0,80.0,80.0,80.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.50.19,0.0,4.0,704.0,0.0,176.0,176.0,176.0,0.0,0.0,0.0,0.0003657341003417969,30.000584840774536,10.000608921051025,14.142118597939538,0.0,0.0,0.0,0.0,0
192.168.50.255,8.0,0.0,0.0,904.0,0.0,0.0,0.0,113.0,0.0,38.88444419044716,0.0,0.0,0.0,0.0,0.28710484504699707,29.71384572982788,4.980382442474365,10.112629948170088,0
192.168.50.30,2.0,2.0,158.0,326.0,79.0,79.0,79.0,163.0,0.0,0.0,20.922720909118652,20.922720909118652,20.922720909118652,0.0,20.92273449897766,20.92273449897766,20.92273449897766,0.0,1
192.168.50.31,11.0,19.0,1605.0,2511.0,79.0,89.0,84.47368421052632,228.27272727272728,4.526077785120188,94.62356039495754,0.20795297622680664,10.41757583618164,3.210286643770006,2.752826422027513,0.21609115600585938,15.208502054214478,5.774591588973999,5.554063988627312,1
192.168.50.32,1.0,1.0,74.0,158.0,74.0,74.0,74.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.50.34,3.0,3.0,228.0,480.0,76.0,76.0,76.0,160.0,0.0,0.0,20.923558950424194,25.998845100402832,23.461202025413513,2.537643074989319,20.923557996749878,25.998852968215942,23.46120548248291,2.5376474857330322,1
192.168.50.50,16.0,21.0,1732.0,4357.0,64.0,92.0,82.47619047619048,272.3125,7.76929242350327,104.76813685467543,0.0003352165222167969,12.432363986968994,2.5401116013526917,3.7449937528424173,0.00019812583923339844,12.415857315063477,3.388110462824504,4.161881855448169,0
192.168.50.88,202.0,255.0,27311.0,28440.0,66.0,394.0,107.10196078431373,140.79207920792078,76.06201751170694,167.6097586082923,3.695487976074219e-05,4.297281265258789,0.2287603147386566,0.5858028534567615,0.0,4.297287225723267,0.2877130591454197,0.6644451394198329,0
224.0.0.252,2.0,0.0,0.0,128.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10318517684936523,0.10318517684936523,0.10318517684936523,0.0,0
255.255.255.255,2.0,0.0,0.0,352.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,30.001461029052734,30.001461029052734,30.001461029052734,0.0,0
8.8.4.4,205.0,136.0,22975.0,15655.0,66.0,593.0,168.93382352941177,76.36585365853658,198.4272308898294,13.26530950091064,0.0,9.22726559638977,0.40975224353649,1.182325343248622,3.695487976074219e-05,9.223702192306519,0.2711775782061558,0.9726845304793567,0
Broadcast,113.0,0.0,0.0,6780.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005721092224121094,3.727113962173462,0.5078866801091603,0.4898680632975612,0
PcsCompu_02:ff:fc,1.0,8.0,480.0,42.0,60.0,60.0,60.0,42.0,0.0,0.0,0.3112771511077881,4.219119310379028,1.5444902351924352,1.295749543789781,0.0,0.0,0.0,0.0,0
